# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
mieten	a1		mietet, hat gemietet	Ich möchte ein Auto mieten.
mild	b1			Möchten Sie die Soße scharf? – Nein, bitte ganz mild.
mindestens	a2			Bitte kommen Sie mindestens zwei Stunden vor Ihrem Flug zum Flughafen.
minimal	b1			Da ist nur ein minimaler Unterschied.
mischen	b1		mischt, mischte, hat gemischt(1)	Ich möchte ein gemischtes Eis mit Sahne.
miss-	b1			Die Konferenz war ein Misserfolg.
mit	a1			Trinken Sie den Kaffee mit Milch?
mit (+ mitbringen/-kommen/-machen/-nehmen/-spielen)	a2			Trinken Sie den Kaffee mit oder ohne Zucker?
mitbringen	a1			Ich gehe einkaufen. Soll ich dir was mitbringen?
miteinander	b1			Sprechen Sie bitte miteinander.
mitkommen	a1			Ich gehe ins Kino. Kommst du mit?
mitmachen	a1			Warum macht ihr nicht mit?
mitnehmen	a1			Nehmen wir meine Schwester ins Kino mit?
mitteilen	b1		teilt mit, teilte mit, hat mitgeteilt(1)	Den Prüfungstermin teilen wir Ihnen noch mit.
mitten	b1			Wir haben eine Wohnung mitten in der Stadt.
mittler-	b1			In den mittleren Reihen sind noch Plätze frei.
mittlerweile	b1			Am Anfang war die Arbeit schwer. Mittlerweile habe ich mich daran gewöhnt.
mobil/mobil-	b1			Mit dem Fahrrad bin ich in der Stadt sehr mobil.
modern	a2			Das Stadtzentrum von Frankfurt ist sehr modern.
morgen	a1			Morgen beginnt die Schule um 10 Uhr.
musikalisch	b1			Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige.
mutig	b1			Es war sehr mutig von dir, deine Meinung laut zu sagen.
männlich	a1			Kreuzen Sie bitte an: weiblich oder „männlich“.
möbliert	b1			Ich suche ein möbliertes Zimmer.
möchten	a1		möchte, hat gemocht	Was möchten Sie trinken?
mögen	a1		mag, hat gemocht	Magst du Kaffee oder Tee?
möglich	a1			Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.
möglichst	b1			Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt.
müde	a1			Ich bin müde. Ich gehe schlafen.
mündlich	b1			Die mündliche Prüfung ist erst nächste Woche.
müssen	a1		muss, musste	Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.
nach	a1			Ich gehe jetzt nach Hause.
nachdem	b1			Nachdem wir gegessen hatten, sind wir spazieren gegangen.
nachdenken	b1		denkt nach, dachte nach, hat nachgedacht(1)	Ich weiß nicht, was ich machen soll. Ich muss nachdenken.
nachher	b1			Ich rufe nachher nochmal an.
nachschlagen	b1		schlägt nach, schlug nach, hat nachgeschlagen(1)	Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.
nah(e)	b1			Wie weit ist es zum Bahnhof? – Das ist ganz nah, nur zwei Minuten von hier.
nass	a2			Geh nicht mit den nassen Schuhen ins Wohnzimmer!
national/national-	b1			Das ist ein nationaler Wettbewerb.
natürlich	a2			Natürlich helfen wir dir.
neben	a2			Neben mir ist noch ein Platz frei.
nebenan	a2			Das ist José. Er wohnt nebenan.
nebenbei	b1			Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe.
neblig	a2			Fahr vorsichtig! Es ist neblig.
negativ	b1			Du solltest nicht alles negativ sehen.
nehmen	a1		nimmt, hat genommen	Heute gibt es Hähnchen. Das nehme ich.
nein	a1			Fährst du auch nach München? – Nein, ich habe keine Zeit.
nennen	a2		nennt, hat genannt	Mein Freund heißt Alexander, aber alle nennen ihn Alex.
nervös	a2			Bei Prüfungen bin ich immer sehr nervös.
nett	a2			Ich habe viele nette Kollegen.
neu	a1			Ich bin der neue Kollege.
neugierig	b1			Die Nachbarn sind ziemlich neugierig.
neulich	b1			Ich war neulich bei der Bank und habe einen alten Freund getroffen.
nicht	a1			Das stimmt nicht.
nichts	a1			Das macht nichts.
nie	a1			Er kommt nie pünktlich.
niedrig	b1			Die Räume hier sind mir zu niedrig.
niemand	a2			Hier ist niemand.
nirgends	a2			Hier kann man nirgends parken.
nirgendwo	b1			Die Schlüssel kann ich nirgendwo finden.
noch	a1			Vielleicht kommt er noch.
noch mal	b1			Vielen Dank nochmal.
nochmals	b1			Nochmals vielen Dank!
normal	a1			75 kg. Sein Gewicht ist normal. 75 kg.
normalerweise	b1			Wann haben Sie normalerweise Pause?
notieren	a2		notiert, hat notiert	Notieren Sie bitte alle wichtigen Informationen.
notwendig	a2			Muss ich noch einmal kommen? – Nein, das ist nicht notwendig.
nun	b1			Schade, dass du arbeiten musst. – Das ist nun mal so.
nur	a1			Ich möchte nur ein Glas Wasser.
nutzen	b1		nutzt, nutzte, hat genutzt(1)	Ich möchte das schöne Wetter nutzen und spazieren gehen.
nächst-	a1			Sehen wir uns nächste Woche?
nächste	a2		-er, -es	Sehen wir uns nächste Woche?
nähen	b1		näht, nähte, hat genäht(1)	Meine Mutter näht ihre Kleider selbst.
nämlich	b1			Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.
nötig	b1			Wenn es nötig ist, nehmen Sie noch eine Tablette.
nützen	b1		nützt, nützte, hat genützt(1)	Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.
nützlich	a2			Danke für den Tipp. Er war sehr nützlich.
ob	b1			Ich weiß noch nicht, ob ich kommen kann.
oben	a1			Ich wohne oben.
ober-	b1			Ich bin Ober von Beruf.
obwohl	b1			Obwohl meine Kollegin krank ist, geht sie arbeiten.
oder	a1			Wann können Sie kommen – heute oder morgen?
offen	a2			Ist das Fenster im Bad noch offen?
offenbar	b1			Das Restaurant ist heute offenbar geschlossen.
offiziell	b1			Sie bekommen von uns eine offizielle Einladung.
oft	a1			Petra treffe ich oft.
oft/öfter	b1			Ich treffe mich oft mit meiner Freundin.
ohne	a1			Ohne Geld kann er nichts kaufen.
online	a2			Wann bist du wieder online?
operieren	b1		operiert, operierte, hat operiert(1)	Wir müssen das Knie sofort operieren.
optimistisch	b1			Glaubst du, dass du den Job bekommst? – Ja, ich bin ganz optimistisch.
ordentlich	b1			Mein Bruder ist ein sehr ordentlicher Mensch.
ordnen	b1		ordnet, ordnete, hat geordnet(1)	Letztes Wochenende habe ich meine Papiere geordnet.
organisieren	a2		organisiert, hat organisiert	Frau Gomez organisiert unseren Ausflug.
original	b1			Ich muss das originale Dokument abgeben.
packen	a2		packt, hat gepackt	Ich muss noch meinen Koffer packen.
packt ein	a2			Pack bitte die Handtücher ein!
parallel	b1			Die Goethestraße ist parallel zur Hauptstraße.
parken	a2		parkt, hat geparkt	Darf ich hier parken?
parkieren	b1		parkiert, parkierte, hat parkiert (CH) (1)	Hier dürfen Sie nicht parkieren.
passen	a2		passt, hat gepasst	Die Bluse passt mir nicht.
passieren	a2		passiert, ist passiert	Wie ist der Unfall passiert?
passiv	b1			Man sollte im Kurs nicht passiv sein, sondern mitdiskutieren.
pauschal	b1			Sie haben die Reise pauschal gebucht.
peinlich	b1			Das muss dir nicht peinlich sein.
per	b1			Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.
perfekt	b1			Die Reiseorganisation war perfekt.
persönlich	b1			Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.
pflanzen	b1		pflanzt, pflanzte, hat gepflanzt(1)	Lass uns einen Baum pflanzen!
pflegen	b1		pflegt, pflegte, hat gepflegt(1)	Meine Mutter ist sehr krank. Ich muss sie pflegen.
planen	a2		plant, hat geplant	Wir sollen zusammen eine Klassenparty planen.
plötzlich	a2			Plötzlich war das Licht aus.
politisch	b1			Ich diskutiere mit meinem Mann oft über politische Probleme.
populär	b1			Diese Musik ist bei Jugendlichen populär.
positiv	b1			Wir haben eine positive Nachricht für Sie. Sie bekommen die Stelle.
praktisch	a2			Mit meinem neuen Handy kann ich auch im Internet surfen und Fotos machen. Das finde ich sehr praktisch.
preiswert	a2			Die Jacke ist sehr preiswert. Sie kostet nur 15 Euro.
prima	b1			Mit diesen Leuten verstehe ich mich prima.
privat	a2			Das ist meine Nummer im Büro und das ist meine private Handynummer.
pro	a2			Das Zimmer kostet 100 Euro pro Nacht.
probieren	a2		probiert, hat probiert	Möchten Sie den Käse probieren?
produzieren	b1		produziert, produzierte, hat produziert(1)	Unsere Firma produziert Feuerzeuge.
protestieren	b1		protestiert, protestierte, hat protestiert(1)	Wir protestieren gegen den Bau der Autobahn.
präsentieren	b1			Präsentieren Sie Ihre Ergebnisse bitte im Kurs.
prüfen	a2		prüft, hat geprüft	Bitte prüfen Sie die Rechnung sofort.
putzen	a2		putzt, hat geputzt	Ich muss heute noch das Bad putzen.
pünktlich	a1			Der Bus fährt pünktlich um acht Uhr.
raten	a2		rät	Ich weiß nicht, welches Handy ich kaufen soll. Was raten Sie mir?
rauchen	a1		raucht	Ich rauche nicht.
rauf/rauf-	b1			Hier ist die Treppe, also los, schnell rauf!
raus/raus-	b1			Willst du rein oder raus?
reagieren	b1		reagiert, reagierte, hat reagiert(1)	Ich habe dem Vermieter geschrieben, aber er hat noch nicht reagiert.
realisieren	b1		realisiert, realisierte, hat realisiert(1)	Diese Pläne sind nicht zu realisieren.
realistisch	b1			Ich glaube nicht, dass du für das Auto noch so viel Geld bekommst. Das ist nicht realistisch.
rechnen	a2		rechnet	Sarah kann gut rechnen.
recht	b1			Ist es Ihnen recht, wenn ich morgen vorbeikomme?
recht haben	a2			Du hast (nicht) recht.
recht-	b1			Ich habe mir den rechten Arm gebrochen.
rechtlich	b1			Wir beraten Sie in rechtlichen Fragen.
rechts	a1			Die Schillerstraße ist hier rechts.
rechtzeitig	b1			Bitte weck mich rechtzeitig. Ich muss pünktlich sein.
reden	a2		redet	Mit meiner Freundin kann ich über alles reden.
reduzieren	b1		reduziert, reduzierte, hat reduziert(1)	Wir haben jetzt unsere Preise reduziert.
regelmäßig	b1			Sie müssen die Tabletten regelmäßig nehmen.
regeln	b1		regelt, regelte, hat geregelt(1)	Die Ampel ist kaputt. Ein Polizist regelt den Verkehr.
regional	b1			Du kannst mit einer Regionalbahn fahren. Das ist billiger.
regnen	a1		regnet	Heute regnet es.
reich	a2			Lotte ist reich. Sie hat sehr viel Geld.
reichen	b1		reicht, reichte, hat gereicht(1)	Ich nehme nur eine Suppe. Das reicht mir.
reif	b1			Die Banane kannst du nicht essen. Sie ist noch nicht reif.
rein	b1			Der Pullover ist aus reiner Wolle.
reinigen	b1		reinigt, reinigte, hat gereinigt(1)	Ich möchte diesen Anzug reinigen lassen.
reisen	a1		reist	Ich reise gern.
reiten	a2		reitet	Möchtest du reiten lernen?
relativ	b1			Die Wohnung ist relativ groß, aber sehr teuer.
rennen	b1		rennt, rannte, ist gerannt(1)	Ich bin sehr schnell gerannt, aber der Bus war schon weg.
renovieren	a2			Wir renovieren das ganze Haus.
reparieren	a1		repariert, reparierte, hat repariert(1)	Er hat das Fahrrad repariert.
reservieren	a2		reserviert, reservierte, hat reserviert(1)	Reservieren Sie bitte ein Doppelzimmer.
retten	b1		rettet, rettete, hat gerettet(1)	Der Arzt konnte das Kind noch retten.
richtig	a1			Habe ich das richtig verstanden?
riechen	a1		riecht	Dieser Wein riecht gut.
riesig	b1			Die Stadt ist riesig.
roh	b1			Du kannst das nicht essen. Das Fleisch ist noch roh.
romantisch	a2			Dieser Film ist sehr romantisch.
rufen	a2		ruft	Rufst du bitte die Kinder? Das Essen ist fertig.
ruhig	a1			Ich möchte ein ruhiges Zimmer.
rund	a2			Unser Wohnzimmertisch ist rund.
runterwerfen	b1			Kannst du mir bitte den Schlüssel runterwerfen? Ich habe meinen vergessen.
rückwärts	b1			Ich bin rückwärts aus der Garage gefahren.
sagen	a1		sagt	Sag mal, wie geht es dir denn?
salzig	b1			Dieses Essen ist zu salzig für mich.
sammeln	a2		sammelt	Peter sammelt Briefmarken.
satt	b1			Möchten Sie noch etwas? – Nein danke, ich bin satt.
sauber	a2			Bringen Sie mir bitte ein sauberes Glas!
sauer	a2			Zitronen sind mir zu sauer.
schade	a2			Schade, dass du nicht kommen kannst.
schaden	b1		schadet, schadete, hat geschadet(1)	Ein kleines Glas Wein kann nicht schaden.
schaffen	a2		schafft	Kannst du mir bitte helfen? Ich schaffe das nicht alleine.
schalten	b1		schaltet, schaltete, hat geschaltet(1)	Schalten Sie bitte das Licht aus, wenn Sie gehen.
scharf	a2			Die Suppe ist mir zu scharf.
schauen	b1		schaut, schaute, hat geschaut(1)	Schau mal! Da vorne ist noch ein Platz frei.
scheinen	a1		scheint	Die Sonne scheint.
schenken	a2		schenkt, schenkte, hat geschenkt(1)	Was schenken wir Michael zum Geburtstag?
schicken	a1		schickt	Bitte schicken Sie mir eine E-Mail.
schieben	b1		schiebt, schob, hat geschoben(1)	Leider ist mein Fahrrad kaputtgegangen. Ich musste es nach Hause schieben.
schief	b1			Der Spiegel hängt ganz schief.
schießen	b1		schießt, schoss, hat geschossen(1)	Unsere Mannschaft hat ein Tor geschossen.
schimpfen	a2		schimpft	Warum schimpfst du denn so laut? – Ich ärgere mich über mein Auto.
schlafen	a1		schläft	Ich schlafe meistens acht Stunden.
schlagen	b1		schlägt, schlug, hat geschlagen(1)	Wer hat den Weltmeister geschlagen?
schlecht	a1			Mir ist schlecht!
schließen	a1		schließt	Bitte, schließen Sie die Tür.
schlimm	a2			Kein Problem, das ist nicht so schlimm.
schmecken	a1		schmeckt	Schmeckt das gut?
schmutzig	a2			Das Handtuch ist schmutzig.
schneiden (sich)	a2		schneidet	Das Messer schneidet nicht gut.
schneien	a2		schneit	Morgen schneit es.
schnell	a1			Er fährt schnell.
schon	a1			Ist das Essen schon fertig?
schrecklich	a2			Ich finde ihren Rock schrecklich. Er sieht furchtbar aus!
schreiben	a1		schreibt	Er schreibt jeden Tag fünfzig E-Mails.
schreien	b1		schreit, schrie, hat geschrien(1)	Kinder, hört bitte auf, so laut zu schreien. – Ich muss arbeiten.
schriftlich	a2			Sie müssen sich schriftlich anmelden.
schuldig	b1			Was bin ich Ihnen schuldig? – 50 Euro, bitte.
schwach	a2			Er ist krank und schwach.
schwanger	a2			Lena ist schwanger. Sie bekommt im Juli ein Kind.
schweigen	b1		schweigt, schwieg, hat geschwiegen(1)	Sie sprach viel, aber ihr Mann schwieg den ganzen Abend lang.
schwer	a1			Ist Ihr Gepäck sehr schwer?
schwierig	a2			Die Prüfung war nicht schwierig.
schwimmen	a1		schwimmt	Ich schwimme jeden Tag einen Kilometer.
schwitzen	b1		schwitzt, schwitzte, hat geschwitzt(1)	Es war sehr heiß. Wir haben alle sehr geschwitzt.
schädlich	a2			Rauchen ist schädlich für die Gesundheit.
schätzen	b1		schätzt, schätzte, hat geschätzt(1)	Wie alt ist der Chef? – Ich weiß nicht, ich schätze, um die Fünfzig.
schön	a1			Schönen Urlaub!
schütteln	b1		schüttelt, schüttelte, hat geschüttelt(1)	Die Flasche muss man vor dem Öffnen schütteln.
schützen	b1		schützt, schützte, hat geschützt(1)	Diese Impfung schützt vor Grippe.
sehen	a1		sieht	Ich kann dich nicht sehen.
sehr	a1			Danke sehr!
sein	a1		ist, war, ist gewesen	Herr Müller ist in seinem Zimmer.
seit	a1			Ich wohne seit drei Jahren in Köln.
seitdem	b1			Ich bin vor zwei Jahren nach Deutschland gekommen. Seitdem lerne ich Deutsch.
selb-	b1			Ich habe am selben Tag Geburtstag wie du.
selbst	a2			Du musst mir nicht helfen, ich mache das selbst.
selbstständig	a1			Er ist selbstständig.
selbstverständlich	b1			Selbstverständlich sagen wir Ihnen sofort Bescheid.
selten	b1			Ich gehe ganz selten ins Kino.
seltsam	b1			Es ist seltsam, dass mein Bruder noch nicht hier ist.
senden	b1		sendet, sendete/sandte, hat gesendet/gesandt(1)	Bitte senden Sie uns die Unterlagen per E-Mail.
senkrecht	b1			Ziehen Sie bitte eine senkrechte Linie.
setzen (sich)	a2		setzt	Setz dich doch!
sich	a1			Sie müssen sich erst anmelden.
sich amüsieren	b1			Bei dem Fest haben wir uns sehr gut amüsiert.
sich bedanken	b1			Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
sich beeilen	b1			Wir müssen uns beeilen. Sonst verpassen wir den Zug.
sich befinden	b1			Das Bord-Bistro befindet sich in der Mitte des Zuges.
sich bemühen	b1			Er hat sich sehr bemüht, etwas Gutes zu kochen.
sich beschweren	b1			Wo können wir uns beschweren?
sich beteiligen	b1			Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?
sich bewerben	b1			Ich habe mich um diese Stelle beworben.
sich eignen	b1			Dieses Hotel eignet sich besonders für Familien mit Kindern.
sich einigen	b1			Jeder hat einen anderen Vorschlag. Wir können uns leider nicht einigen.
sich entschließen	b1			Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen.
sich ereignen	b1			Der Unfall ereignete sich am frühen Morgen.
sich erholen	b1			Im Urlaub habe ich mich sehr gut erholt.
sich erkundigen	b1			Hast du dich schon nach einem Zug erkundigt?
sich erkälten	b1			Der Junge hat sich beim Baden erkältet.
sich etwas gefallen lassen	b1			Das würde ich mir nicht gefallen lassen.
sich freuen	b1			Es freut mich, dass alles so gut geklappt hat.
sich irren	b1			Du irrst dich. Das Auto war nicht grün, sondern rot.
sich konzentrieren	b1		konzentriert sich, konzentrierte sich, hat sich konzentriert(1)	Bitte stör mich jetzt nicht. Ich muss mich auf meine Arbeit konzentrieren.
sich kümmern	a1		kümmert sich, kümmerte sich, hat sich gekümmert(1)	Jede Mutter kümmert sich um ihre kleinen Kinder.
sich langweilen	b1		langweilt sich, langweilte sich, hat sich gelangweilt(1)	Langweilst du dich?
sich lohnen	b1		lohnt sich, lohnte sich, hat sich gelohnt(1)	Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.
sich nähern	b1		nähert sich, näherte sich, hat sich genähert(1)	Er nähert sich dem Unfallort ganz langsam.
sich scheiden lassen	b1		lässt sich scheiden, ließ sich scheiden, hat sich scheiden lassen(1)	Meine Nachbarn haben sich scheiden lassen.
sich umziehen	a2		zieht sich um	Warte bitte, ich muss mich noch umziehen.
sich vergnügen	b1		vergnügt sich, vergnügte sich, hat sich vergnügt(1)	Auf der Party habe ich mich sehr vergnügt.
sich verhalten	b1		verhält sich, verhielt sich, hat sich verhalten(1)	Der Mann hat sich uns gegenüber merkwürdig verhalten.
sich verlaufen	b1		verläuft sich, verlief sich, hat sich verlaufen(1)	Gestern haben wir uns im Wald verlaufen. Wir haben erst eine Stunde später den richtigen Weg gefunden.
sich wundern	b1		wundert sich, wunderte sich, hat sich gewundert(1)	Es hat mich gewundert, dass das Essen hier so günstig ist.
sicher	a2			Dieses Auto ist besonders sicher.
sichern	b1		sichert, sicherte, hat gesichert(1)	Du musst immer alle Daten im Computer sichern.
sichtbar	b1			Es gibt keine sichtbaren Verletzungen.
sie	a1			Wie heißt sie?
siegen	b1		siegt, siegte, hat gesiegt(1)	Die Mannschaft siegte mit 2:0.
singen	a2		singt	Er singt gern.
sinken	b1		sinkt, sank, ist gesunken(1)	Das Schiff ist vor der Küste gesunken.
sinnlos	b1			So ein sinnloses Buch habe ich schon lange nicht mehr gelesen.
sinnvoll	b1			Es funktioniert einfach nicht. Es ist sinnvoll, es noch einmal zu versuchen.
sitzen	a1		sitzt	Wo sitzen Sie?
so	a1			Sie müssen das so machen!
so viel/so viel wie	b1			Ich habe so viel gegessen. Jetzt ist mir schlecht.
sobald	b1			Sobald ich den Termin weiß, gebe ich Ihnen Bescheid.
sodass	b1			Der Zug hatte zwei Stunden Verspätung, sodass ich erst um 23 Uhr nach Hause kam.
sofort	a1			Bitte antworten Sie sofort.
sogar	a2			Heute ist es sehr kalt. In den Bergen schneit es sogar.
sogenannt-	b1			Studenten, die lange studieren, sind sogenannte Langzeitstudierende.
solange	b1			Solange Sie Fieber haben, dürfen Sie auf keinen Fall arbeiten gehen.
solch-	b1			Solche Schuhe finde ich toll.
sollen	a1		soll	Soll ich kommen?
sondern	b1			Unser Besuch kommt nicht heute, sondern morgen.
sonnig	a2			Morgen ist das Wetter wieder warm und sonnig.
sonst	a2			Haben Sie sonst noch einen Wunsch? – Nein danke, das ist alles.
sorgen	b1		sorgt, sorgte, hat gesorgt(1)	Wer sorgt denn für die Kinder?
soviel	b1			Soviel ich weiß, hat dieses Restaurant heute Ruhetag.
sowieso	b1			Willst du mir den Brief mitgeben? Ich gehe sowieso zur Post.
sowohl … als auch	b1			Sowohl Sie als auch Ihre Frau müssen unterschreiben.
sozial	b1			Das System ist nicht sozial.
spannend	a2			Ich finde den Film sehr spannend.
sparen	a2		spart	Ein neues Auto ist sehr teuer. Ich muss sparen.
sparsam	b1			Wir haben fünf Kinder. Wir müssen sehr sparsam sein.
spazieren gehen	a2		geht spazieren	Wir gehen sonntags immer spazieren.
speichern	a2		speichert	Sie müssen die Datei speichern.
speziell	b1			Ich suche einen ganz speziellen Ring für meine Freundin.
spielen	a1		spielt	Die Kinder spielen draußen.
spitz	b1			Der Bleistift ist nicht spitz.
sportlich	a2			Tom ist sehr sportlich.
sprechen	a1		spricht	Kann ich (mit) Herrn Klein sprechen?
springen	b1		springt, sprang, ist gesprungen(1)	Wir waren im Schwimmbad. Mein Sohn ist immer wieder ins Wasser gesprungen.
spät	a1			Es ist schon spät, ich muss gehen.
später	a1			Das können wir später machen.
spätestens	b1			Ich muss spätestens um 9 Uhr bei der Arbeit sein.
spülen	b1		spült, spülte, hat gespült(1)	Hast du das Geschirr gespült?
spüren	b1		spürt, spürte, hat gespürt(1)	Wo tut es weh? Spüren Sie das hier?
stammen	b1		stammt, stammte, hat gestammt(1)	Ich stamme aus einer kleinen Stadt an der Donau.
stark	a2			Ich habe starke Kopfschmerzen.
starten	b1		startet, startete, ist gestartet(1)	Das Flugzeug ist pünktlich gestartet.
statistisch	b1			Die statistischen Ergebnisse zeigen eine gute Entwicklung.
statt	b1			Kann ich diese Woche statt Donnerstag am Freitag kommen?
stattfinden	a2		findet statt	Das Spiel findet auch bei Regen statt.
staubsaugen	b1		staubsaugt, staubsaugte, hat gestaubsaugt(1)	Ich muss heute in meiner Wohnung noch staubsaugen.
stechen	b1		sticht, stach, hat gestochen(1)	Stefan wird beim Zelten immer von den Mücken gestochen.
stecken	b1		steckt, steckte, hat gesteckt(1)	Wo ist denn mein Pass? Ich hatte ihn doch in die Handtasche gesteckt.
stehen	a1		steht	Ich glaube es nicht, aber es steht in der Zeitung.
stehen bleiben	b1			Bitte bleiben Sie stehen.
stehlen	b1		stiehlt, stahl, hat gestohlen(1)	Gestern hat mir jemand im Zug meine Uhr gestohlen.
steigen	b1		steigt, stieg, ist gestiegen(1)	Die Preise für Milch und Gemüse sind schon wieder gestiegen.
steigt ein	a2			Schnell, steig ein, der Zug fährt gleich ab.
steil	b1			Die Straße zu unserem Haus ist sehr steil.
stellen	a1		stellt	Stell die Tasche rechts in die Ecke!
sterben	a2		stirbt	Herr Müller kommt heute nicht. Sein Vater ist gestern gestorben.
stilistisch	b1			Der Text ist stilistisch sehr schön.
still	b1			Sei doch mal einen Moment still!
stimmen	b1		stimmt, stimmte, hat gestimmt(1)	Meine Adresse stimmt nicht mehr.
stinken	b1		stinkt, stank, hat gestunken(1)	Was stinkt denn hier so? – Das ist der Fisch. Er ist nicht mehr frisch.
stolz	b1			Ich bin stolz auf dich. Das hast du sehr gut gemacht.
stoppen	b1		stoppt, stoppte, hat gestoppt(1)	Die Polizei hat mich gestoppt, weil ich bei Rot über die Ampel gefahren bin.
strafbar	b1			Was du da machst, ist strafbar.
streiken	b1		streikt, streikte, hat gestreikt(1)	Die Arbeiter streiken für höhere Löhne.
streiten (sich)	a2		streitet	Die Kinder streiten (sich) oft.
streng	a2			Der Lehrer von meiner Tochter ist sehr streng.
stressig	a2			Meine Arbeit ist stressig.
studieren	a1		studiert	Ich studiere in Mainz.
stumm	b1			Stell bitte dein Handy leise oder auf stumm.
städtisch	b1			Ich gehe gern in die städtische Bibliothek.
ständig	b1			Ich habe schon ein paar Mal bei meiner Freundin angerufen. Es ist ständig besetzt.
stören	a2		stört	Störe ich?
stürzen	b1		stürzt, stürzte, ist gestürzt(1)	Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.
suchen	a1		sucht	Suchst du etwas?
super	a2			Der Film ist super.
surfen	a2		surft	Ich möchte gern surfen lernen.
sympathisch	a2			Der neue Chef ist sehr sympathisch.
sämtliche	b1			Sämtliche Fenster müssen geschlossen bleiben.
süchtig	b1			Ich bin süchtig nach Schokolade.
süß	a2			Ich finde die Torte zu süß.
tanken	b1		tankt, tankte, hat getankt(1)	Wir müssen unbedingt tanken. Wir haben fast kein Benzin mehr.
tanzen	a1		tanzt	Tanzen Sie gern?
tatsächlich	b1			Die Hose ist tatsächlich zu klein, obwohl sie so groß aussieht.
taub	b1			Sie hört schlecht, sie ist schon fast taub.
tauchen	b1		taucht, tauchte, ist/hat getaucht(1)	Ich möchte im Urlaub wieder tauchen gehen.
tauschen	b1		tauscht, tauschte, hat getauscht(1)	Ich würde meinen Kuchen gegen dein Brot tauschen.
technisch	b1			Es gab ein technisches Problem.
teilen	a2		teilt	Wollen wir die Pizza teilen?
teilnehmen	a2		nimmt teil	Ich möchte an dem Tanzkurs teilnehmen.
telefonieren	a1		telefoniert	Darf ich mal telefonieren?
testen	b1		testet, testete, hat getestet(1)	Testen Sie unsere Angebote kostenlos.
teuer	a1			Das ist mir zu teuer.
theoretisch	b1			Ich habe die theoretische Prüfung bestanden. Nach der praktischen habe ich den Führerschein.
tief	a2			Vorsicht, das Wasser ist tief!
tippen	b1		tippt, tippte, hat getippt(1)	Wie schnell kannst du tippen?
tolerant	b1			Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.
toll	a2			Der Urlaub war toll.
tot	a1			Sein Vater ist schon lange tot.
total	a2			Der Film ist total langweilig.
traditionell	b1			Ich mag die traditionelle Küche.
tragen	a2		trägt	Ich kann den Koffer nicht tragen, er ist zu schwer.
trainieren	a2		trainiert	Wir trainieren einmal pro Woche im Sportverein.
transportieren	b1		transportiert, transportierte, hat transportiert(1)	Wie willst du die Möbel denn transportieren?
traurig	a2			Ich bin sehr traurig. Meine Katze ist weggelaufen.
treffen	b1		trifft, traf, hat getroffen(1)	Wir treffen uns immer freitags.
treffen (sich)	a2		trifft	Ich treffe in der Stadt einen Kollegen.
treiben	b1		treibt, trieb, hat getrieben(1)	Welchen Sport treibst du?
treten	b1		tritt, trat, hat/ist getreten(1)	Ich bin in ein Stück Glas getreten.
treu	b1			Herr Maier ist ein treuer Kunde von uns.
trinken	a1		trinkt	Möchtest du etwas trinken?
trocken	a2			Die Wäsche ist bald trocken.
trocknen	b1		trocknet, trocknete, hat/ist getrocknet(1)	Ich habe mir die Haare getrocknet.
trotz	b1			Trotz Grippe bin ich zur Arbeit gegangen.
trotzdem	b1			Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.
trägt ein	a2			Tragen Sie sich bitte in diese Liste ein!
träumen	a2		träumt	Ich träume von einem großen Haus mit Garten.
tschüs	a2			Tschüs, bis morgen!
tschüss	a1			Junge Leute sagen meistens „tschüss!“ und nicht „auf Wiedersehen“.
tun	a1		tut	Ich habe noch etwas zu tun.
typisch	a2			Diese Musik ist typisch für dieses Land.
tödlich	b1			Dieses Gift kann für den Menschen tödlich sein.
um	a1			Er kommt um sieben Uhr.
um … zu	b1			Um gesund zu bleiben, musst du Sport machen und Gemüse essen.
umarmen	b1		umarmt, umarmte, hat umarmt(1)	Lass dich zum Abschied umarmen.
umgehen	b1		geht um, ging um, ist umgegangen(1)	Er kann sehr gut mit Kindern umgehen.
umgekehrt	b1			Nein, umgekehrt: erst der Vorname, dann der Nachname.
umso	b1			Je früher wir dort sind, umso besser sind unsere Chancen auf einen guten Sitzplatz.
